i,"Philosophy for groupable user push notifications: More hands-on than global users — groupable users care about individual location Stats within their region. Notifications should surface location-level signals for coaching and recognition, while still aggregating across the group to avoid overwhelming volume.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Tier,Notification Type,Trigger,Feedback Volume Threshold,Frequency Cap,Deep Link Destination,Title,Body,,Backend,Mobile,Overall,Effort,Risk,Customer value,Existing infra used,Net-new work,Notes,Audience,DBA Work,Ease (verified),Verified Notes (TE-13290),Jira Ticket,DBA Requirement (detailed),Product Decision (settled),DBA Task
,Any way to prompt users during onboarding that they can turn this on?,New Location Level Incidents,New incident flagged with 1-2 stars (minus high-value guest at risk),N/A,"DEFAULT OFF

Real-time, no cap",Inbox → Specific incident,🚨 Critical Incident,Guest issue reported at [Location]. Tap to review.,,E — Exists,P — Partial,P — Partial,M,High,(TBD — Product),SurveyPushNotificationConsumer wired (incl. high-value-guest-at-risk branch); MobilePushNewIncident pref label; high-value exclusion already coded; mobile handler auto-switches merchant + applies locationId filter.,Default-OFF seed migration (current default '1'); standalone /incident/[id] route on mobile (today only a bottom sheet over /response/[id]); wire incidentId payload to a screen consumer.,⚠ PII risk (R1) — body includes guestName today in cleartext. Onboarding-prompt question is Product.,all,None (mobile route + seed),M,#1 X1 gate lift launches it; /incident/[id] route MISSING; location-name PII on lockscreen (guest name already removed from copy); default-OFF blocked by shared guest-issues umbrella,TE-13977,No data-team DBA — existing SurveyPushNotificationConsumer + app seed migration.,Default OFF (per TE-13652). Real-time send (no tz gating).,
,,New Location Level Negative Reviews,New 1-3 star review on review platform,N/A,"DEFAULT OFF

Real-time, no cap",Inbox → Specific review,⚠️ New [1/2/3]-Star Review,Posted on [Platform]. Tap to review.,,E — Exists,E — Exists,E — Exists,S,Med,(TBD — Product),ReviewPushNotificationConsumer wired; PermissionSplit base for full/view-only routing; MobilePushNewNegativeReview pref label; mobile /review/[id] deep link works.,Confirm consumer fires for 1-3★ band; default-OFF seed migration with care around eager-default-write (Cluster J).,,all,None (confirm 1-3★ + seed),S,#2 Fully wired (E/E); confirm 1-3★ band fires + default-OFF seed; default-OFF blocked by shared guest-issues umbrella,TE-13976,No data-team DBA — existing ReviewPushNotificationConsumer + /review/[id].,Default OFF (per TE-13652). Real-time send.,
,"1
Critical Alerts",Tag notifications (surveys),Carry over from email notifications setup in the dashboard,N/A,"Real-time, no cap",To the specific feedback with the assigned tag,🚨 New Survey Tag,[Tag name] has been assigend to a guest survey feedback. Tap to see details.,,P — Partial,N — Net-new,P — Partial,M,High,(TBD — Product),"TagNotificationAutomation DocDB model, TagNotificationTriggerCommand, consumer, email generator.",Push-side generator; tagId(s) on NotificationData (Cluster H schemaVersion needed); inbox tag-filter sync; SendMobilePushNotificationCommand schema migration (no TagId slot today); receipts table tag_id column.,⚠ Consent escalation — email enrolment by merchant admin doesn't auto-grant push consent. - We would want this only if they have tag notifications created and opted in ,all,Schema — app-owned (receipts.tag_id),Straightforward (M),"#3 Email automation exists; add TagId to command + receipts.tag_id (app EF migration); consent CRITICAL — FilterByPreference fails OPEN, needs default-OFF tag pref; build with #4",— (not yet ticketed),No data-team DBA — app-owned EF migration only (SendMobilePushNotificationCommand.TagId + push_notification_receipts.tag_id).,Real-time send. (Consent — only opted-in tag users — still open with Product.),
,,Tag notifications (online reviews),Carry over from email notifications setup in the dashboard,N/A,"Real-time, no cap",To the specific review with the assigned tag,🚨 New Online Review Tag ,[Tag name] has been assigend to a [Google/Facebook] review. Tap to see details.,,P — Partial,N — Net-new,P — Partial,M,High,(TBD — Product),SocialReviewTagNotificationCommandConsumer; ReviewTagNotificationCommandGenerator (email); reviews filter store accepts tagIds.,Same migrations as #3 plus reviews-side tag-filter sync.,⚠ Same consent escalation as #3. We would want this only if they have tag notifications created and opted in  ,all,Schema — app-owned (shares #3),Straightforward (M),#4 Shares all #3 migrations + reviews-side tag-filter sync; build with #3,— (not yet ticketed),No data-team DBA — shares #3's app-owned migration.,Real-time send. (Consent as #3 — still open.),
,,Unread Feedback Piling Up,If there are locations in their group has ≥40% of inbox unread for 48+ hours,N/A,Once per location per 72-hour window,Inbox → Filtered to that location,📬 Location Behind On Responses,[23] unread feedback across [xx] locations sitting for 2+ days. Guests may still be waiting.,,N — Net-new,E — Exists,P — Partial,M,Med,(TBD — Product),TimelineInteractions.Seen tracks per-item view state; mobile Inbox→location filter via push payload works.,"Per-location unread aggregator (≥40%, 48h window); 72h dedupe via the new claim-before-send primitive (Cluster C); new cron.",↑ from N — dedupe now feasible via revised Cluster C approach.,all,None (+ dedupe table),M,"#5 New per-location unread aggregator (>=40%, 48h) + 72h claim via new dedupe primitive; Inbox->location deep-link works",TE-13978,No data-team DBA — in-app unread aggregator over TimelineInteractions.Seen.,Real-time send.,
,,Incident Spike (Group Level),If group average incident rate increases by ≥25% over a rolling 7-day period,Min 6 feedback per week at the group level,Weekly Tuesday morning,Stats → Group View,🚨 Group Incident Spike,Incidents up [42%] across [Group Name] this week vs. last. Tap to investigate.,,P — Partial,N — Net-new,P — Partial,L,Med,(TBD — Product),Raw incident data per location; v_push_notifications_zero_incident_week pattern for 7d rolling incident count; BenchmarkingWinDispatcherConsumer as template.,Rolling-7d incident-rate at group + delta surfacing; Tuesday AM cron (fix EST/EDT first - R4); Stats→Group View (Cluster A).,↑ from N — rolling-7d math exists in MVs. Group rollup partial via SurveyStatisticsQueryBuilder.,grp,QUERY — new group rolling-7d view,L,#6 DBA: new group rolling-7d incident-rate view; Tue AM cron needs explicit local-hour gate; Stats->Group View is routing glue,TE-14012,"We want to:
- detect a group's average incident rate rising >=25% over a rolling 7-day window
- only when the group has >=6 feedback that week
So we need:
- a new group-scoped Redshift view (per-group current-7d vs prior-7d incident rate + delta)
- the min-feedback floor built into the view
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)",Send at recipient device tz; skip send if no tz.,TE-14118
,,Incident Spike (Single Location),If a single location's incident rate increases by ≥25% over a rolling 7-day period,Min 6 feedback per week at the group level,Weekly Tuesday afternoon,Stats → Location View,🚨 Location Incident Spike,"[Westgate] incidents up [60%] this week. Tap to see what's driving it.

[3] locations's incident rate up by more than 25% this week. Tap to investigate.",,P — Partial,E — Exists,P — Partial,M,Med,(TBD — Product),v_push_notifications_zero_incident_week (7d rolling); single-location Stats view exists on mobile.,Rolling-7d location-level delta surfacing; Tuesday PM cron.,↑ from N — mobile destination works; backend math exists.,all,QUERY — view needs prior-period,M,#7 DBA CONFIRMED: zero_incident_week view has no prior-period column -> needs view change for the WoW delta; mobile dest works,TE-14013,"We want to:
- detect a single location's incident rate rising >=25% week-over-week
So we need:
- v_push_notifications_zero_incident_week modified (or a new view) to expose the PRIOR 7-day incident count (only current exists today) for the WoW delta",Send at recipient device tz; skip send if no tz.,TE-14119
,,CER Drop Alert,"If group drops >0.1 CER and a location drop >0.3 CERover a rolling 7-day period

ONLY if the group is marked ""is franchisee""",Min 6 feedback per week at the group and location level respectively,Weekly Wednesday morning,Stats → Group View,📉 CER Drop Alert,"[Group Name] CER fell [0.15] pts and [2] locations dropped [0.3] pts this week. Tap to see what's driving it.
",,N — Net-new,N — Net-new,N — Net-new,L,Med,(TBD — Product),Month-to-date CER (mv_encouraging_statistics); MonthlyCerRepository.current_month_avg_cer.,Rolling-7d group CER + location CER (new); week-over-week delta; **Group.IsFranchise** does not exist on Group entity (Cluster B); min-6-feedback floor; Wednesday AM cron; Stats→Group View.,Blocked primarily by Group.IsFranchise data model.,grp,QUERY + SCHEMA (Group.IsFranchise),Complex (L),#8 Most blocked: needs group CER view AND Group.IsFranchise schema+backfill (semantic ALL recommended; only ~1% of groups differ),TE-14014,"We want to:
- alert when a franchise group's CER drops >0.1 AND a location drops >0.3 over rolling 7 days (min 6 feedback each)
So we need:
- a group+location rolling-7d CER view with WoW delta + min-feedback floor
- the Group.IsFranchise column (schema + backfill; semantic = ALL)
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)",Franchise group = ALL locations are franchise (decided). Send at recipient device tz; skip send if no tz.,TE-14121 + TE-13994 (franchise)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2
Performance Updates",Start-Of-Month Objective Setting,"Beginning of the month.

Send only once if user has multiple groups.",N/A,Monthly on Day 1,Stats → Group View,🎯 [Month] Objectives Set,New targets are live for your group. Tap to see each location's objectives!,,E — Exists,N — Net-new,P — Partial,M,Low,(TBD — Product),StartOfMonthScheduledEvent wired → IObjectiveEmailManagerService.ProcessFirstOfMonthEvent (email).,Push variant of generator; per-user-once dedupe for multi-group users via new claim-before-send primitive; Stats→Group View destination.,,grp,None (+ dedupe: per-user-once),M,#9 Email path exists; add push variant + per-user-once dedupe (multi-group); Stats->Group View,TE-13982,No data-team DBA — reuse the objective data the email path already assembles.,Send at recipient device tz; skip send if no tz.,
